Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-April-2022,1008.90,1014.75,990.80,1011.85,1004.604958413307741522,31260,2263,31403951.00,9783,31.30,23.95,2.95
19-April-2022,1030.00,1037.65,980.55,999.00,1014.668009705168737592,68005,2405,69002498.00,47862,70.38,57.10,-31.00
18-April-2022,1017.00,1034.70,1012.30,1027.10,1021.536392828472036392,37370,2996,38174815.00,11327,30.31,22.40,10.10
13-April-2022,1035.90,1035.90,1012.30,1016.30,1021.069396136277919792,71589,3100,73097337.00,19001,26.54,23.60,-19.60
12-April-2022,1025.00,1031.65,1013.25,1027.30,1021.702848714562573961,58307,2551,59572428.00,17993,30.86,18.40,2.30
11-April-2022,1010.00,1028.00,1010.00,1023.55,1020.577850560173473075,221360,10489,225915113.00,175685,79.37,18.00,13.55
8-April-2022,1036.00,1037.35,1005.00,1011.65,1011.234444494027697204,134454,7180,135964516.00,73496,54.66,32.35,-24.35
7-April-2022,1031.25,1062.30,1031.25,1036.90,1047.371431234996620598,85814,3591,89879132.00,15067,17.56,31.05,5.65
6-April-2022,1018.40,1033.00,1013.75,1028.40,1025.221990867579908675,27375,1709,28065452.00,9793,35.77,19.25,10.00
5-April-2022,1032.40,1035.45,1018.00,1021.30,1026.054501797961926863,87043,3707,89310862.00,63793,73.29,17.45,-11.10
4-April-2022,1019.00,1029.95,1004.00,1027.80,1015.054172455405583555,98611,4632,100095507.00,53859,54.62,25.95,8.80
1-April-2022,1025.40,1025.40,1006.20,1014.95,1014.333197108630686317,39151,2568,39712159.00,10159,25.95,19.20,-10.45
31-March-2022,1033.00,1034.90,1013.65,1018.50,1019.865742208135235076,37860,2374,38612117.00,11939,31.53,21.25,-14.50
